@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" not very no really much well most then could way any characters character did best better off over ", N
" not up really well dont then made watch many seen character acting does better still over ", N
" not like more no much get also people first characters watch two character acting plot ", N
" not like even no up well dont movies them could characters watch many two acting plot off still over ", N
" not good really much well into movies them too watch two love best over ", N
" not more very make where does ", N
" not like very also into any never where ", N
" not good more really much dont then movies could too characters many being acting little ever ", N
" not like more no get being end ", N
" good very even also most ", N
" not like really bad most could seen love did does off ", N
" not like good more up first movies could think being character never love did does better say ", N
" not like good more get most way watch many did ever your still over end ", N
" not like very really bad dont after being character know ", N
" not like even no up really people most then movies make many seen love acting ever ", N
" not very even much most them any watch does your still over end ", N
" not great people first too seen where best still over end ", N
" not like up well because most little best better ", N
" not good more even no up much well get also bad people then many know does still over end ", N
" not much get into off ", N
" not like no also made make any best ever ", N
" not like even well bad because dont movies made many seen acting know ever does say ", N
" not like good more even no really much well into people dont made them could way any too after two character love where plot little life ever better off these over end ", N
" not like very up much well get because most then movies two did know ever does end ", N
" like more very really much great because make too after think watch being love show better off end ", N
" not like good very up much well get great into bad dont movies could being acting did best better still ", N
" not like very even up much well also bad most too acting know does off still these say ", N
" not like more even no up really much well get great also into bad because people first dont movies way any after characters think seen being two character love where did plot little show these say ", N
" not even up get most dont movies made too characters think seen two where plot life ever your better still these ", N
" very no up get great also bad because movies way any off still these end ", N
" more even much first movies seen where over ", N
" not more even really much into them too characters watch many does better still over ", N
" not like even no up much well get also bad because people movies make could way any watch character never love plot best off these ", N
" much well get into because first dont then movies them make any characters think watch two character love plot does end ", N
" not like good more also into first movies them way being two plot little know ever does your these end ", N
" not good more very even get people most then too many over ", N
" not like very no really get great into bad because people dont could any watch seen never did little know show your better say ", N
" much bad people dont movies make could after watch seen acting ever better ", N
" like good very even really much also bad because people first then made make think many acting where little show your better off these ", N
" not like no get people dont movies way after watch acting did little your ", N
" like more too think seen acting little ever ", N
" not up people most dont made make any think does ", N
" not like more up really much get way any being acting did plot know better ", N
" not like good more even no up really get also bad people first dont then them make could any watch many acting little know your still over say ", N
" not like good very even no up much also bad people characters never where life ", N
" more much into most them acting plot little know ever say ", N
" not like good more very even no really much well also into bad because most first dont then movies them could way any too after characters watch many seen two never acting where plot show does better off still these say ", N
" not like good even really well then way too think love acting end ", N
" not like very even no really much get also people first dont made them could after think many being did life does say ", N
" like them way watch little show ", N
" no up people way too plot life ", N
" more up great then movies too characters many seen where best life ever does ", N
" even really get bad then movies them way any seen character where ever over ", N
" make think acting best ", N
" not like very no up well get bad because dont made could think seen little ever end ", N
" not really get first dont after does still over say ", N
" not very even much because people first dont make any think watch many seen being two love where know life better say ", N
" not even bad acting off ", N
" not like more very no much get also bad because made way many little know show better end ", N
" not more because then could after did little end ", N
" not very no up most seen never acting ever off ", N
" too ", N
" not like no into dont seen plot ever does better ", N
" like more up well bad after end ", N
" not up because people first movies them could way too after characters two ", N
" not more even much get bad because most movies could way many seen never plot know life better say ", N
" even could too after many acting plot ", N
" good bad because movies made make any characters character ever ", N
" much character plot does ", N
" not good very even much any watch two your still ", N
" like no really bad first movies seen know ", N
" not like really being ", N
" like very even much great also bad first dont movies any think two acting did plot your ", N
" great also bad dont best ", N
" not like good more even no up much well get also into bad because people first dont movies made them make any after watch two where little know show off still these say ", N
" like well get also movies make after watch acting plot ", N
" not good more very even no really then them plot little ever better ", N
" get bad because movies character did ", N
" like no really much get great also dont then too characters many your off ", N
" not more no well get great bad people could think many seen never did ever say ", N
" not more plot life ", N
" not more very no much great into after characters watch does ", N
" like no up really great dont seen being best ever ", N
" not like good even no up much get also into people then made them many your end ", N
" not more even really first dont make any characters did plot still ", N
" not good very even no first movies them after did little life over end ", N
" like no any characters end ", N
" good even no seen ever ", N
" not like good even really get into bad dont then any plot show does your ", N
" not even much people first them could any too characters watch your end ", N
" good very no also first dont then two plot ", N
" not like even no up really much well get because first dont movies them make could any after many character never acting where did plot does off over say ", N
" not like more then show your better say ", N
" not like more really much because people dont way too love know show does ", N
" not like good more very even no get bad because people then made them make way after think watch many two did show ever off ", N
" not more because first could too being these ", N
" like great most dont then way never where show ever these end ", N
" like even no bad characters watch seen acting where life your end ", N
" no much bad people made could think love ", N
" not good very well made could think ", N
" not then characters being show ", N
" not like into bad them make any characters think being did best ", N
" not like good more very no up really get also into then make characters think love acting little show ever ", N
" not like more first ", N
" good more very even really well bad any after characters acting little ", N
" good no much get into think never these over ", N
" not more no into then too seen being acting ever better ", N
" good no bad most way after character acting plot better ", N
" good even really could any being two best better these say ", N
" more very also first movies could too after never best better end ", N
" not more even no up much great also into most them could seen two character never did over say ", N
" not good no up really get great first then where did plot know life ", N
" well into them where ", N
" like into first then character ", N
" like good very up really much get great bad because dont movies way any watch many never did plot know ever your better say end ", N
" like even bad too watch never acting ever ", N
" like more bad then never acting where plot life ", N
" not like very even no much well get great bad first make could way too watch being never know show ever say ", N
" like good no up well bad people most first dont make way after acting best ever better say ", N
" not bad most any seen ever ", N
" not like good very well get bad people dont could way love acting does say end ", N
" not good even up really well great because most any after two love acting where plot know does ", N
" like even up well into because first dont them make any characters think two character never these over end ", N
" not even no bad most dont made seen character acting plot ever ", N
" not like more very even no well get because people movies made make way too after character never acting where best ever does say ", N
" not like even up really get bad dont any seen acting did ever your ", N
" even no up really well because people dont then them could way being character little ever end ", N
" not like even much into bad plot ", N
" good no really get bad most many being character acting plot does over ", N
" not like even really most first dont made way any think being character never where know say ", N
" not like into people most movies any did these ", N
" not like good more even up really well great into because people dont then them make could way think character where know over say end ", N
" like good even really people first think watch seen two ever better ", N
" like good even up get into people characters many ", N
" not like good even no up really much also bad first dont movies too think seen know does your ", N
" not like even because ", N
" very well after does over ", N
" not like very even up much get into first dont then them make way too after think never did best show life off over say ", N
" not like good more no up much well great into most movies made make could any too love where did little show life ever off ", N
" not more up most first movies way any too think two character ", N
" like no really much first dont many being know ", N
" not like more really make characters think many acting show ", N
" not like more no well also bad could being character show ", N
" not like even no people then any watch show ever say ", N
" not like even up bad people most made watch seen best ever off these ", N
" not like more no well get also most them think many seen character acting plot know show life your ", N
" very no also into bad watch two never know ever ", N
" more very even also most first being love acting ", N
" not like very even no up really well get great also because people first then made make way any after think seen plot little ever does off still these over end ", N
" good more very no up get into because most acting where little say ", N
" not very no really much into bad because made any too many two love know does end ", N
" not good more very even well great also bad people first dont could way watch many acting where show ever does your better these ", N
" not like more very even no much also into because people make characters think being character love acting where best show life better still ", N
" not like very even up much too character show still say ", N
" good no up get bad people them make way watch never show ever ", N
" like more up also most movies character where ever say ", N
" not like up well because make think show ever does your better ", N
" like good really get great into dont then love know show ", N
" like good really much because first too think seen being character show off end ", N
" not good more very even up really get dont then made make any too characters think being two character acting plot little show does your better off these ", N
" not really much people made them watch many never did know show ever better ", N
" good more very no into because most make could way after many being character show your better off ", N
" not very well great bad think seen being ", N
" not like good more even no up get bad most dont then movies make could way any too characters many seen two never acting where know show life ever off still over ", N
" not also bad most seen ever say ", N
" not no up much also most then made could seen plot ever still say ", N
" not like good up really get into people dont them could way being acting did plot know does ", N
" not like good even because most movies seen being acting ever still ", N
" not even great bad dont movies any think love where best ", N
" not like even no into made did ever still ", N
" not even no up really bad most movies too seen where little know show ever your off still ", N
" not like really get great dont movies make any too many seen acting where best ever better these say ", N
" not more up really much bad because people most then way too many two acting where best show off end ", N
" good really well people dont movies way characters think acting ", N
" not like good more even no up much get into bad because people most first then movies them make could any characters watch seen never love where did know show off still these over ", N
" like more even no up much most made them could any think seen two little ever say ", N
" not like good more no much well get great people dont movies made them could way characters many being character where did little best know life does still over end ", N
" not like more even no up much get into first make after being two did plot still these ", N
" not good even no much bad after seen acting over ", N
" really most way ", N
" not good even up really much well get great bad then made too after think many two little off over end ", N
" like good very up really much great also into most too watch many being character never acting where best know does over ", N
" more no well into bad first them way seen character where best these end ", N
" not good even no up bad because then never know these ", N
" not like good more even no up much get also into because people then could too characters two love still end ", N
" not like very really dont could think where ", N
" not more also dont made way any after two character acting plot your better ", N
" very much get most seen ", N
" no made make characters ", N
" not like very even no much bad movies could after seen being acting know ever ", N
" not like more very even no also bad people dont two know show still say ", N
" not more no get great then seen ", N
" good first then made make characters watch ", N
" up well bad people dont them make watch seen acting ", N
" not like good more into because then way love acting off ", N
" good really dont after watch ", N
" not like good more even much also into bad most then movies them any characters watch two character acting where know show your over ", N
" not like because people first dont any after two acting plot life better end ", N
" not like more even no much well also into because people first then make any think being little best know show life does these ", N
" very bad movies think many did ", N
" not good much first dont make could way any after being two acting did ", N
" not very really into because movies could way any being character ", N
" not really much well also bad most dont made make any too think two never acting life ever does better say ", N
" not like more even no much well get into bad because people most first dont then made make could way any think many being two acting plot life your off still end ", N
" not good very no up really bad because first then movies way think being acting where plot know ever better still end ", N
" not like even really well get dont made could way watch many being two love say ", N
" not more people dont made way think seen being life ever your ", N
" not very into bad first characters watch seen did plot ", N
" not because first think love show ever off ", N
" not good even no bad people dont make after seen character love plot little know ever ", N
" not like more very even no really get great into bad because people most first then made them could way too after many two never acting know does still these say ", N
" no into people then make way characters acting life your ", N
" not like good more well bad dont then them watch know your still these say end ", N
" not more no really people dont then could life your ", N
" not into acting did know show say ", N
" like very much dont characters think watch character better say ", N
" not like good very even no really into bad then made them make could too characters being acting still say ", N
" not like into bad people dont made characters acting ", N
" like more even no up get bad because most first dont movies made make way love acting did your over say ", N
" not like very seen being did ", N
" not like even no into bad people dont made make could after characters think watch seen acting plot ever ", N
" really bad know say ", N
" like even well get into because dont any never ever your better still ", N
" not like very no really well because people first could off say ", N
" like get dont then seen life your still ", N
" not good up into bad first plot end ", N
" not good no get made make never know ", N
" even ", N
" not like more into bad movies made could way never did off say ", N
" no up then watch little show ", N
" not like good more much great bad first dont then made way any characters watch two character acting did know does your better off still end ", N
" even no because make these ", N
" more no into bad first them make way after never know ever ", N
" like good more very also them watch better ", N
" best ever still ", N
" good up get bad then your ", N
" not up much well get bad because dont movies make any seen being ever does better end ", N
" not no really much well because made way after being acting ", N
" good very even much into most made make way any watch little show ever does off over ", N
" not like good more very no really much well get also people first then movies make any too being never ever does your these ", N
" like more up really because people make many character acting life ", N
" not like good very even up really much well get great bad people first dont then made them any characters think watch being two acting plot best know your end ", N
" much could too many character plot does ", N
" more well could characters two ", N
" not good even great bad people dont them where plot does your off ", N
" not like good more very even no up much get into because most first dont them make could way any too characters think many being two character never love where little know life better off these over say ", N
" not really get because first make could any think being little ", N
" get also into then them character love ", N
" not good even up much get also dont them too characters know life does off still ", N
" like good more even no up get into bad most dont made them make many did ever does your off still ", N
" into bad way any acting better say ", N
" like more much well most dont them too where your still say ", N
" like even no up much bad most dont movies any seen character never love ever better ", N
" good no because movies them many did your these ", N
" not also bad then characters know ", N
" not like very no up really much great bad because most love ", N
" not like very really much also bad first dont made after character never love where off ", N
" not very no up really get great bad first movies them could being little does off these say ", N
" like very really because first dont movies made them make think watch being two never love did ever your end ", N
" not very no up get people made them way too think show ", N
" not like very even no up really much well get great also bad then made them too think watch many never where little off these ", N
" not very great most first acting still ", N
" not more well get bad then way where did plot over ", N
" not like get bad because first movies made could way too after love acting where know end ", N
" not more very no really also most first way too characters think two love where best over ", N
" good even first make watch seen show ", N
" good get also into any never does ", N
" even well bad could too think acting where ever ", N
" not like very even no up really well get great because dont then made could way after think two character never where plot little best ever does better off still ", N
" not like good very up get bad movies could any being say ", N
" not like good more very even no up well get into bad first dont movies made them could too after watch many seen two did know ever does over say ", N
" not good very much well great into movies made after love acting life better ", N
" good up get bad way seen your ", N
" not like more even up much also because first then made them any watch being two acting little best does still say ", N
" like even get also into dont made think many never ", N
" good no up really bad people most dont movies many acting ", N
" like even also bad because most dont movies them could acting did life say ", N
" not like more even no up really much great into people them make way characters being character did better these ", N
" not up watch ", N
" not good more very no really much get because most dont movies them any acting show life does better ", N
" not even no up get most first any acting plot show over ", N
" not like good very up really much well bad first movies make think watch two plot best know say ", N
" like very no much get great first made could way any seen being two never where plot best ever your off these over end ", N
" not very really great dont many love best know ever ", N
" even people too many two ", N
" no up then them too many two ", N
" not like good any seen acting plot ever ", N
" not good up much well bad most first then could way too two where better ", N
" not like good very even really much into most dont make could after character where plot does ", N
" very up really into people characters many did does off say ", N
" not good very no bad most first them after seen acting plot over ", N
" not like up really much get also into bad because people most first dont then them could way too after characters think watch many being acting did plot little best better these ", N
" not them could characters best ", N
" not like good very even way any characters many plot little ", N
" good more even no up really into most then could way after did know off over end ", N
" not like even no up into first dont then make way any acting did over ", N
" not good more no up well get into bad people most first dont made way after many being two acting where little life better say ", N
" not like very much also most first dont made could too characters think watch plot these ", N
" really because being two over ", N
" good more very even no up really much also made make any too after plot little off still ", N
" not like more too character ", N
" not very up really get bad movies them any many being love best know say ", N
" not like good more even up really well most them way too characters many character never where plot little show ", N
" not like really into because people dont movies way characters think did life ", N
" not more bad because way too characters watch better ", N
" not very even really great into then after watch love know show your ", N
" not very even make did plot show better ", N
" not like no up well get great because people dont made make after did know your off ", N
" not like good more very even no up well because people first made make characters many character love acting where did plot better say ", N
" not best ", N
" more also most made watch two off ", N
" not like good more very even no up really much well also because first dont then movies made after characters character never love acting where know ever over say ", N
" like good more even much well great also bad first could after love acting plot better off still ", N
" not up also make any seen never where did show does ", N
" like no also into because people dont think little show better off end ", N
" not like more very even no get great people most dont them make way any many know show these end ", N
" like more no get because most dont could way any many show these ", N
" good no dont then any characters never acting plot life your ", N
" not more no made watch seen two never acting little off ", N
" not very well people then after seen two little know these ", N
" not like more even no get make many character plot little end ", N
" not even really much well into bad most first movies could any two where did life better off still these say ", N
" not like more much well get great into bad because people most first dont then movies made could way any after characters think watch many seen acting where did ever off these ", N
" not like good more even no get great bad because people first then movies make could after think being two know does ", N
" not like more even no much well also into bad because dont then movies them could way any too after characters think watch many seen being character never did little know show ever does these say ", N
" not no really bad them could any after characters watch seen being character acting little best ", N
" not like good more even no much well bad people made make could any too characters many seen being two acting did plot little ever off say ", N
" not like good more very even no up really much get also into because people most then could way any many seen little know ever better off still end ", N
" not people dont make after think watch life your better these ", N
" not good more very no up much get also into first then made them could characters seen being two character acting did plot know does off end ", N
" not like more no up well get people first movies made make could any after think watch many seen being two little know show ever ", N
" more no really get way any characters watch character plot ", N
" not good even no bad most show over ", N
" not like more very really most them characters little best life your over ", N
" not like very no because movies them way too ever say ", N
" not more no also because people most first them could way any characters being two where best know life these ", N
" not like more very even no really much into bad because first then any never acting plot life ever does off ", N
" like good even into bad first dont them any watch two love plot show better off still say ", N
" like great also into because make watch show ", N
" good more even no up get great first make way too watch two where best show over ", N
" like good very no really much get great bad people then them could any watch many being character acting best show better these ", N
" not like good more even no up well great into bad because people dont made them could characters watch love did best know show life over ", N
" not more even no much get bad because dont then make could any too being acting plot your better ", N
" not more very bad most dont many ", N
" not like up well most dont make way character show life ever does say ", N
" good much bad because first dont movies could after think watch acting ever still ", N
" no well great people way watch life these ", N
" people most them ", N
" more also because made love plot ", N
" not like more even get first dont movies could after think many seen character plot ever ", N
" not more up well love best does ", N
" well because dont think never little your over ", N
" like even bad people first acting off ", N
" not even no up get into bad dont then made make way watch acting where know still these end ", N
" not like very even no up get into because people first dont then made way after think being two where your off still these over ", N
" not like very even up much well get also into bad people first then them any too many never where little best show life your these say ", N
" not like even no really much people then made any too acting does over ", N
" like even no up into bad because people most dont characters watch know your off still say end ", N
" like very no really into bad because people most first dont then make any too characters little off these ", N
" not very much get also most then them watch two did ever ", N
" not like good more very even no up really much well get also into bad because people most first dont then movies them could any too after think watch seen being acting did plot little know life ever your better off end ", N
" like very even up get also bad because dont then characters where ", N
" not like even no bad people too love acting did know better these ", N
" not good even no up really much get into bad dont made could way too after seen never show life better ", N
" much bad way too after does say ", N
" even no bad movies could seen acting ever your ", N
" like more even no up well get most first dont then could any many show these over ", N
" not good very even up well because dont too acting know these ", N
" not like good more very even well also into bad most them way any characters being character never acting know does your ", N
" not more much bad then too many plot say ", N
" like no bad most made way too ever ", N
" no well first could never does better say ", N
" more even no up really much well then watch being where did know ever ", N
" like no into people dont movies any watch many ever your off over say ", N
