@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" not very no really much well most way then any could best characters did character better ", N
" not up really well dont then many acting made seen watch character real better does ", N
" not like more no much get people first also two acting watch characters character plot real ", N
" not like even up no well dont movies them many two acting could watch characters scene plot while ", N
" not good really much well into movies them too two best watch love ", N
" not more very make scene where does while ", N
" not like very into also any where horror never ", N
" not more good really much dont movies too then many being acting little could characters ever ", N
" not like more no get being ", N
" very even good most also ", N
" not like really bad most could seen love did does while ", N
" not like more up good first movies think being could love did character real better does never ", N
" not like more good get most way many watch ever did your while ", N
" not like very really bad dont after being know character ", N
" not like even up no really people most movies then many acting make seen love ever scenes ", N
" not very even much most them any watch your does scenes ", N
" not great people first too best seen where while ", N
" not like up well because most little best better ", N
" not more even up good no much get well bad people also then many know scene does another ", N
" not much get into ", N
" not like no also any make made best ever ", N
" not like even well bad because dont movies many acting made seen know ever does ", N
" not like more even good no really much well into people dont them way too two any after made little could love scene ever where life character plot better scenes while another ", N
" not like very up much get well because most movies then two know scene ever did does scenes ", N
" like more very really much great because too think after being make watch love show better ", N
" not like very up good much get well bad great into dont movies being acting could best did better scenes ", N
" not like very even up much well bad most also too acting know does ", N
" not like more even up no really much get well bad great into because people first dont also movies way think two any after being little seen love characters scene show did where character plot real scenes while another ", N
" not even up get dont most movies too think two made seen characters scene ever where life plot your better horror ", N
" very up no get bad great because also movies way any another ", N
" more even much first movies seen where while ", N
" not more even really much into them too many watch characters better does ", N
" not like even up no much get well bad because people also movies way any make could best watch love character plot real never another ", N
" much get well into because first dont movies them then think two any make watch love characters character plot does ", N
" not like more good into first also movies them way two being little know ever plot your does horror ", N
" not more very even good get people most too then many another ", N
" not like very no really get bad great into because people dont any little could seen watch know show did your real better scenes horror never ", N
" much bad people dont movies after acting make could seen watch ever real better ", N
" like very even good really much bad because people first also then think many acting make made little scene show where your better scenes another ", N
" not like no get people dont movies way after acting little watch did your real horror ", N
" like more too think acting little seen ever ", N
" not up people dont most think any make made real does ", N
" not like more up really much get way any being acting know scene did plot better ", N
