@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" terrific well why ", N
" boring bother decent horrible nothing script trash waste well why ", N
" annoying couldnt crap minutes nothing plot pointless ", N
" crap enjoyed loved minutes none plot stupid waste well ", N
" love well ", N
" stupid why ", N
" supposed ", N
" awful couldnt different poor waste ", N
" lame ", N
" awful ", N
" bad love why ", N
" different love ", N
" touched ", N
" bad excellent script terrible why ", N
" awful boring cheap crap love stupid turkey worse ", N
" excellent poor stupid turkey ", N
" great why ", N
" well ", N
" bad nothing remotely script supposed today well ", N
" nothing ", N
" worst ", N
" avoid bad boring horrible well worst ", N
" bad love minutes plot well ", N
" favorite minutes script skip well ", N
" fantastic great love ", N
" bad boring couldnt great pointless well ", N
" amateurish atrocious bad minutes redeeming well ", N
" bad boring great love minutes plot script well why ", N
" avoid boring minutes plot pointless remotely strong stupid terrible why worst ", N
" bad couldnt decent great minutes ", N
" nothing ", N
" decent ", N
" awful bad boring crap horrible love minutes nothing plot script well ", N
" love plot well ", N
" minutes plot ", N
" boring pointless ridiculous ", N
" bad couldnt great supposed ", N
" bad couldnt horrible worse ", N
" bad couldnt different disaster why worse ", N
" script stupid terrible terrific worst ", N
" horrible nothing pointless sorry worse worst ", N
"  ", N
" decent minutes nothing plot sorry stupid ", N
" bad minutes none stupid supposed why ", N
" bad terrific ", N
" plot poor ", N
" annoying avoid awful bad boring bother couldnt enjoyed fails minutes none nothing painful plot poor script terrible well worse ", N
" horrible love wasted well ", N
" beautiful minutes ", N
" annoying minutes painful waste ", N
" awful plot pointless stupid supposed terrible ", N
" great ", N
" amateurish bad cheap worst ", N
" horrible ", N
" bad couldnt crap plot well worse ", N
" lame predictable today why ", N
" different enjoyed love poor supposed worse ", N
" bad ", N
" bad fails nothing ridiculous why wooden worse ", N
" nothing ", N
" excellent wooden ", N
" pointless sorry ", N
" plot ", N
" avoid bad fails poor sorry well ", N
" minutes nothing perfectly script ", N
" annoying bad plot ", N
" awful plot ", N
" amazing bad worst ", N
" plot ", N
" boring nothing skip ", N
" bad cheap trash ", N
"  ", N
" bad great laughable plot ", N
" bad great ", N
" bad nothing poorly touched well why ", N
" annoying cheap plot poor well ", N
" excellent minutes plot script why ", N
" bad cheap lame trash why ", N
" great lame predictable script ", N
" bad great sorry well why ", N
" minutes plot stupid waste ", N
" great script wonderful ", N
" great stupid ", N
" bother minutes worse ", N
" enjoyed minutes none nothing plot poor ridiculous well ", N
" decent lame minutes poorly ", N
" predictable ", N
" horrible lame waste worst ", N
" bad plot skip ", N
" bother decent ", N
" plot waste ", N
" amazing avoid fantastic favorite plot ridiculous stupid supposed well ", N
" why ", N
" love ridiculous ", N
" bad pointless sorry why ", N
" beautiful decent enjoyed why ", N
" annoying couldnt great stupid ", N
" awful bad skip ", N
" bad love ", N
" strong trash well ", N
"  ", N
" bad decent why ", N
" awful horrible love worst ", N
" worst ", N
" bad none well ", N
" minutes ", N
" nothing sorry stupid worse worst ", N
" bad couldnt nothing plot supposed ", N
" worst ", N
" favorite script ", N
" great supposed why ", N
" enjoyed great minutes plot script ", N
" well ", N
" decent wasted ", N
" bad excellent great lame plot script today wasted ", N
" bad couldnt crap decent horrible wasted worst ", N
" awful bad dreadful minutes pathetic plot script ", N
" bad great minutes poor supposed well worse worst ", N
" bad terrible well wooden ", N
" bad horrible nothing why worst ", N
" bad cheap love script supposed well ", N
" great love minutes plot terrible well worst ", N
" stupid well ", N
" bad plot poorly script worst ", N
" annoying avoid awful poorly remotely script well worst ", N
" bad couldnt minutes terrible worse ", N
" boring script stupid well ", N
" bad cheap plot supposed ", N
" bad laughable minutes plot ", N
" awful favorite poor terrible waste worst ", N
" awful cheap dreadful painful redeeming worst ", N
" avoid awful great minutes supposed well wooden ", N
" enjoyed why worst ", N
"  ", N
" awful bad boring bother cheap mstk poorly stupid ", N
" boring strong stupid ", N
" cheap embarrassed forgettable predictable script turkey well worst ", N
" why ", N
" great love predictable well ", N
